timestamp, frame, x, y, z, qx, qy, qz, qw
329970.227774, 000106, -0.13122249, -0.16355371, 0.04836012, -0.21674751, 0.598849, -0.65558636, 0.40571788
329970.261112666, 000107, -0.13166647, -0.16405982, 0.049490266, -0.21876653, 0.5999557, -0.6526839, 0.4076739
329970.294449208, 000108, -0.13164704, -0.16454145, 0.05117987, -0.21918145, 0.6009267, -0.6510347, 0.40865672
329970.327789833, 000109, -0.13204959, -0.16491047, 0.052906677, -0.21901603, 0.6008735, -0.65115476, 0.40863255
329970.361129333, 000110, -0.13211897, -0.16492417, 0.05447022, -0.22035794, 0.60090214, -0.651449, 0.40739802
329970.394465833, 000111, -0.1319038, -0.16476105, 0.0559341, -0.2226318, 0.6014603, -0.6514837, 0.40527707
329970.427805583, 000112, -0.13172232, -0.16475216, 0.057530075, -0.22518918, 0.6026483, -0.651554, 0.40197283
329970.461144458, 000113, -0.13142392, -0.16460061, 0.0591376, -0.22820891, 0.603698, -0.65158916, 0.3986239
329970.494481958, 000114, -0.13092986, -0.16458073, 0.06092336, -0.23066948, 0.605028, -0.6516451, 0.39508402
329970.527822208, 000115, -0.12973197, -0.16499965, 0.062540315, -0.23205386, 0.60799825, -0.6508168, 0.39105812
329970.561159583, 000116, -0.12870651, -0.16557524, 0.06507985, -0.23363356, 0.6122493, -0.64838636, 0.38750646
329970.594498375, 000117, -0.12811382, -0.16580576, 0.067785256, -0.23704384, 0.6165768, -0.6442855, 0.3854081
329970.627836916, 000118, -0.12796576, -0.16540806, 0.06986951, -0.2416757, 0.61970854, -0.6400698, 0.38453192
329970.66117775, 000119, -0.12778273, -0.16531032, 0.07183522, -0.24634731, 0.6220176, -0.63711977, 0.38273436
329970.694515583, 000120, -0.12723862, -0.16532604, 0.073341906, -0.25057152, 0.6234686, -0.6365889, 0.3784909
329970.727854833, 000121, -0.12658146, -0.16538905, 0.0740396, -0.25535563, 0.62436223, -0.636888, 0.37328127
329970.761194958, 000122, -0.12633568, -0.16549431, 0.07517303, -0.26063982, 0.62566435, -0.6360312, 0.3688837
329970.794530875, 000123, -0.12621999, -0.16547786, 0.07646275, -0.26550904, 0.62691486, -0.63474023, 0.3654962
329970.82787, 000124, -0.12611002, -0.16509148, 0.07772718, -0.27044797, 0.6279375, -0.6334449, 0.36235365
329970.861211416, 000125, -0.12621227, -0.16445307, 0.07906182, -0.27654222, 0.62950736, -0.6315492, 0.35831612
329970.894549291, 000126, -0.12640734, -0.16347566, 0.079991214, -0.28340092, 0.6312125, -0.62952936, 0.35347903
329970.927889041, 000127, -0.12621894, -0.16277212, 0.08099541, -0.289078, 0.6330227, -0.62811637, 0.34811762
329970.961228208, 000128, -0.12670262, -0.16193807, 0.08177361, -0.2942287, 0.6351106, -0.6262701, 0.3432925
329970.9945645, 000129, -0.12772624, -0.16083896, 0.08226179, -0.2996607, 0.63659203, -0.6240897, 0.3398031
329971.02790525, 000130, -0.12850612, -0.15976022, 0.083326295, -0.30371162, 0.6382091, -0.62227494, 0.33648497
329971.06124325, 000131, -0.12925051, -0.15915568, 0.08432714, -0.3075129, 0.64133286, -0.619118, 0.3328976
329971.094579833, 000132, -0.13009249, -0.15882176, 0.085232735, -0.31115437, 0.6450909, -0.61547124, 0.32899234
329971.127921125, 000133, -0.13088815, -0.15896195, 0.08569914, -0.3124354, 0.64825636, -0.61361235, 0.32500422
329971.161261583, 000134, -0.13199313, -0.15937854, 0.08624353, -0.31276459, 0.6505337, -0.6128932, 0.32147494
329971.194596166, 000135, -0.13325366, -0.16008353, 0.08702889, -0.31217635, 0.65305847, -0.6121963, 0.31823918
329971.227938375, 000136, -0.13478236, -0.16090246, 0.08760099, -0.3107508, 0.65521574, -0.612068, 0.31543466
329971.261277625, 000137, -0.13642299, -0.16142583, 0.08849592, -0.31009972, 0.65707433, -0.6114123, 0.31347492
329971.294613125, 000138, -0.13813353, -0.16157335, 0.089638166, -0.31015542, 0.6582708, -0.610382, 0.31291682
329971.327954916, 000139, -0.13990565, -0.16165587, 0.090225995, -0.3102186, 0.6578282, -0.61075556, 0.31305593
329971.361295541, 000140, -0.14143509, -0.16152486, 0.091045566, -0.31054515, 0.6565036, -0.61162764, 0.31380937
329971.394629625, 000141, -0.1427786, -0.161317, 0.092121266, -0.31115237, 0.6546958, -0.612494, 0.3152915
329971.427972, 000142, -0.14409871, -0.16172996, 0.09311921, -0.31028664, 0.65399283, -0.61368936, 0.31527886
329971.461309208, 000143, -0.14503211, -0.16209973, 0.09444551, -0.30995554, 0.6545968, -0.61340094, 0.31491238
329971.494646083, 000144, -0.14642197, -0.16190566, 0.09583287, -0.31197706, 0.65376675, -0.61216575, 0.31703693
329971.527988708, 000145, -0.14821956, -0.16210462, 0.09704022, -0.31229377, 0.6518991, -0.6129406, 0.31906724
329971.56132525, 000146, -0.14886454, -0.1628527, 0.09842245, -0.31143367, 0.6508063, -0.6145473, 0.31904835
329971.594662541, 000147, -0.1492731, -0.16353656, 0.09978707, -0.31274968, 0.65013814, -0.6147472, 0.3187379
329971.628005583, 000148, -0.14957938, -0.16425474, 0.10060153, -0.31443447, 0.6502671, -0.6143661, 0.31754977
329971.661344125, 000149, -0.14906581, -0.16525143, 0.10162837, -0.31592423, 0.651229, -0.613316, 0.316127
329971.694678541, 000150, -0.14790642, -0.16650036, 0.10274701, -0.31689084, 0.6524702, -0.6123173, 0.3145318
329971.72802075, 000151, -0.14704114, -0.16770643, 0.10410612, -0.317822, 0.6538183, -0.6111972, 0.31296787
329971.761358333, 000152, -0.14588311, -0.16875176, 0.10560257, -0.3191165, 0.65519685, -0.60977215, 0.31154388
329971.794695, 000153, -0.14445561, -0.16949739, 0.10724783, -0.3209649, 0.656642, -0.6083458, 0.30938354
329971.828036416, 000154, -0.14307362, -0.17023021, 0.10917168, -0.32408455, 0.65804356, -0.60634595, 0.3070706
329971.861376458, 000155, -0.14147909, -0.17060855, 0.110954106, -0.32715943, 0.659105, -0.6054089, 0.30336016
329971.89471125, 000156, -0.1398588, -0.17071536, 0.11268422, -0.33082545, 0.6599369, -0.6047948, 0.29876587
329971.928053, 000157, -0.13825622, -0.17063406, 0.11425704, -0.33519524, 0.6600817, -0.6040471, 0.29506502
329971.961393708, 000158, -0.13678, -0.17089772, 0.11649492, -0.33856615, 0.6612527, -0.60315114, 0.29039028
329971.994730958, 000159, -0.13505274, -0.17170486, 0.119271785, -0.3424575, 0.6650271, -0.5992585, 0.28522098
329972.028065875, 000160, -0.13294837, -0.17248046, 0.12167175, -0.34650096, 0.6687126, -0.5947746, 0.2810756
329972.0614055, 000161, -0.13107356, -0.17343362, 0.12404674, -0.34907573, 0.6712133, -0.59217167, 0.27740124
329972.094743708, 000162, -0.12955275, -0.17422147, 0.12648058, -0.3516426, 0.67300516, -0.5898715, 0.27470535
329972.128084625, 000163, -0.12804882, -0.17471337, 0.1288095, -0.3551426, 0.6742834, -0.58735555, 0.27245033
329972.161422375, 000164, -0.12691844, -0.17497554, 0.13092272, -0.35952175, 0.6751515, -0.5851762, 0.26922733
329972.194760166, 000165, -0.12578334, -0.1751356, 0.13256876, -0.36422604, 0.6758488, -0.58360386, 0.2645266
329972.228101208, 000166, -0.12460445, -0.17532544, 0.13333307, -0.36952007, 0.67688036, -0.58139527, 0.25935975
329972.261438041, 000167, -0.123532206, -0.17566437, 0.1338563, -0.37407988, 0.678823, -0.5784434, 0.2542968
329972.294776625, 000168, -0.12281659, -0.175679, 0.1341157, -0.37757468, 0.6796816, -0.57683414, 0.25046486
329972.328116333, 000169, -0.12151104, -0.1757035, 0.13537186, -0.3802773, 0.67964435, -0.5762967, 0.24769934
329972.361456541, 000170, -0.12076888, -0.17583165, 0.13552193, -0.38161415, 0.6810183, -0.5750885, 0.24465853
329972.394793083, 000171, -0.12054489, -0.17571945, 0.13529874, -0.38315615, 0.6828421, -0.5729392, 0.24219541
329972.428135041, 000172, -0.1200386, -0.17566195, 0.13638505, -0.38492867, 0.6840991, -0.5707741, 0.24094653
329972.461473666, 000173, -0.119985245, -0.17585042, 0.13627274, -0.38527173, 0.6857426, -0.5692789, 0.23925783
329972.49481, 000174, -0.12028224, -0.1757856, 0.135791, -0.38563243, 0.6859142, -0.5690654, 0.23869173
329972.528150458, 000175, -0.12040428, -0.1759178, 0.1357414, -0.38515678, 0.6848638, -0.5706334, 0.2387328
329972.561489333, 000176, -0.12003193, -0.17681016, 0.13566183, -0.38279754, 0.6856749, -0.5722787, 0.23624787
329972.594825708, 000177, -0.11989838, -0.17766646, 0.13612051, -0.38057604, 0.6879703, -0.57190377, 0.23406132
329972.628166541, 000178, -0.121182054, -0.17752801, 0.13741608, -0.3805298, 0.68909806, -0.5702118, 0.2349453
329972.661505833, 000179, -0.1221634, -0.1771233, 0.13873602, -0.3812152, 0.6897652, -0.5685754, 0.23584066
329972.694841875, 000180, -0.122288465, -0.17722693, 0.14008312, -0.38044196, 0.6909676, -0.56786436, 0.23528212
329972.728183, 000181, -0.12235453, -0.1773932, 0.14158545, -0.3796596, 0.6913877, -0.5680789, 0.23479351
329972.761521791, 000182, -0.12261154, -0.17740858, 0.14303814, -0.38029215, 0.6909614, -0.56822973, 0.23465946
329972.794858583, 000183, -0.12237498, -0.17777577, 0.1444526, -0.3811058, 0.69111305, -0.56810254, 0.23319659
329972.828198625, 000184, -0.121759705, -0.17854589, 0.14596751, -0.3818405, 0.692118, -0.5673414, 0.2308557
329972.861538833, 000185, -0.121232055, -0.1791214, 0.14766839, -0.38312885, 0.69256234, -0.56669784, 0.22896127
329972.894874875, 000186, -0.120679, -0.1793786, 0.14924034, -0.38534874, 0.69252765, -0.5660025, 0.22705272
329972.928216125, 000187, -0.11983578, -0.17976181, 0.15104768, -0.38772637, 0.69336385, -0.564414, 0.22439146
329972.961553916, 000188, -0.118689984, -0.18045291, 0.15301807, -0.3897553, 0.6951683, -0.5622412, 0.22071871
329972.994891458, 000189, -0.11759567, -0.1811257, 0.15493624, -0.39236775, 0.69764596, -0.55894434, 0.21660763
329973.028233208, 000190, -0.1165014, -0.1814385, 0.15663172, -0.39561915, 0.70059264, -0.5545196, 0.2125166
329973.061570708, 000191, -0.11543548, -0.18171284, 0.15820098, -0.3988205, 0.7028671, -0.55083483, 0.20856911
329973.094907625, 000192, -0.11483719, -0.18193115, 0.15944575, -0.40221626, 0.7024702, -0.55019593, 0.20504147
329973.128247791, 000193, -0.11401581, -0.18228677, 0.16113226, -0.40548596, 0.7020438, -0.55029213, 0.19973545
329973.161586583, 000194, -0.11271383, -0.18304923, 0.16341573, -0.40876272, 0.7042238, -0.54762894, 0.19257277
329973.194923625, 000195, -0.111902654, -0.1835894, 0.1660272, -0.41282457, 0.70693743, -0.5427983, 0.18757726
329973.228264833, 000196, -0.110963725, -0.18391171, 0.1684132, -0.41629136, 0.7088417, -0.53881603, 0.18418002
329973.261604, 000197, -0.11026157, -0.18396914, 0.17067535, -0.4192264, 0.7104952, -0.535671, 0.18028404
329973.294939833, 000198, -0.10995832, -0.18369481, 0.17284141, -0.422865, 0.7120778, -0.53219414, 0.17578296
329973.328281416, 000199, -0.10987367, -0.18300077, 0.17444938, -0.42715552, 0.71329653, -0.5285235, 0.17149049
329973.361619458, 000200, -0.109892815, -0.18229532, 0.17611326, -0.43148437, 0.7139736, -0.5252113, 0.16797645
329973.394956833, 000201, -0.109607965, -0.1818145, 0.17735456, -0.4344798, 0.7145762, -0.5233323, 0.1634976
329973.428298333, 000202, -0.10916566, -0.18135026, 0.1786096, -0.437061, 0.71507406, -0.52196425, 0.15874527
329973.461636875, 000203, -0.10890611, -0.18062967, 0.17997232, -0.4402992, 0.7153192, -0.52008367, 0.15481599
329973.49497325, 000204, -0.10877139, -0.17966728, 0.18125667, -0.4435564, 0.715487, -0.5179729, 0.15178995
329973.528314166, 000205, -0.108671494, -0.1785175, 0.18229656, -0.44661304, 0.71535164, -0.5160815, 0.14989541
329973.561652791, 000206, -0.10886839, -0.17744747, 0.18335503, -0.44981343, 0.7154206, -0.5134502, 0.14903069
